NU_ANO_EDICAO;CO_CURSO;NO_AREA;DS_MODALIDADE;VL_NOTA_BRUTA_FG;VL_NOTA_BRUTA_CE;VL_NOTA_ENADE_CONTINUO
2016;46871;ENFERMAGEM;Educação Presencial;44.700000763000;42.488235474000;2.431300000000
2016;46875;ENFERMAGEM;Educação Presencial;48.791305542000;50.113044739000;3.387800000000
2016;46877;FONOAUDIOLOGIA;Educação Presencial;52.731819153000;60.154544830000;3.127700000000
2016;46903;SERVIÇO SOCIAL;Educação Presencial;48.073078156000;70.669227600000;4.238900000000
2016;46909;ENFERMAGEM;Educação Presencial;;;
2016;46915;FISIOTERAPIA;Educação Presencial;41.438888550000;32.172222137000;1.879400000000
2016;46917;FARMÁCIA;Educação Presencial;41.014999390000;41.840000153000;1.353000000000
2016;47040;AGRONOMIA;Educação Presencial;37.435714722000;54.566070557000;1.667100000000
2016;47181;AGRONOMIA;Educação Presencial;38.814285278000;60.461906433000;2.370100000000
2016;4720;MEDICINA;Educação Presencial;67.529029846000;74.290321350000;4.023800000000
2016;4721;ENFERMAGEM;Educação Presencial;53.950000763000;58.573684692000;4.469900000000
2016;47273;MEDICINA VETERINÁRIA;Educação Presencial;42.073078156000;48.115383148000;2.245500000000
2016;47615;FISIOTERAPIA;Educação Presencial;46.628570557000;38.282855988000;2.722800000000
2016;47675;FONOAUDIOLOGIA;Educação Presencial;41.238460541000;63.446155548000;3.138400000000
2016;47682;BIOMEDICINA;Educação Presencial;48.007690430000;47.584613800000;2.896300000000
2016;47706;ENFERMAGEM;Educação Presencial;37.076362610000;34.458183289000;1.313000000000
2016;47708;FISIOTERAPIA;Educação Presencial;31.888889313000;33.466667175000;1.688200000000
2016;47712;FONOAUDIOLOGIA;Educação Presencial;37.619998932000;43.563076019000;0.304300000000
2016;47714;MEDICINA VETERINÁRIA;Educação Presencial;45.125579834000;40.686046600000;1.337300000000
2016;47852;ENFERMAGEM;Educação Presencial;42.637500763000;44.287498474000;2.555600000000
2016;47854;FISIOTERAPIA;Educação Presencial;41.220001221000;42.006668091000;2.939100000000
2016;47858;ODONTOLOGIA;Educação Presencial;50.879310608000;56.734481812000;2.482300000000
2016;47862;SERVIÇO SOCIAL;Educação Presencial;49.976924896000;54.869232178000;3.123600000000
2016;47918;ODONTOLOGIA;Educação Presencial;43.724193573000;50.825805664000;1.598200000000
2016;47935;FISIOTERAPIA;Educação Presencial;49.617950439000;36.233333588000;2.604200000000
2016;48022;ENFERMAGEM;Educação Presencial;36.940742493000;35.395370483000;1.409100000000
2016;48207;ENFERMAGEM;Educação Presencial;42.271427155000;51.195236206000;3.285600000000
2016;48211;FISIOTERAPIA;Educação Presencial;48.536365509000;38.445453644000;2.806700000000
2016;48229;TECNOLOGIA EM GESTÃO AMBIENTAL;Educação Presencial;52.368331909000;52.218334198000;3.789700000000
2016;484;MEDICINA;Educação Presencial;63.433334351000;72.671112061000;3.557400000000
2016;485;ODONTOLOGIA;Educação Presencial;58.165306091000;70.567344666000;4.183700000000
2016;48541;FISIOTERAPIA;Educação Presencial;42.937038422000;42.722221375000;3.076400000000
2016;48547;NUTRIÇÃO;Educação Presencial;37.388889313000;38.422222137000;1.310800000000
2016;48581;FISIOTERAPIA;Educação Presencial;37.876594543000;35.482978821000;2.115000000000
2016;486;ENFERMAGEM;Educação Presencial;56.037498474000;58.172916412000;4.496800000000
2016;48614;FONOAUDIOLOGIA;Educação Presencial;34.733333588000;47.766666412000;0.765100000000
2016;48634;SERVIÇO SOCIAL;Educação Presencial;35.060001373000;55.338665009000;2.638100000000
2016;48761;FISIOTERAPIA;Educação Presencial;42.631427765000;37.000000000000;2.444800000000
2016;488;NUTRIÇÃO;Educação Presencial;53.330436707000;57.495651245000;3.441800000000
2016;48806;NUTRIÇÃO;Educação Presencial;41.178665161000;46.545333862000;2.118300000000
2016;48810;ENFERMAGEM;Educação Presencial;41.380950928000;46.157142639000;2.714400000000
2016;48854;MEDICINA;Educação Presencial;61.063095093000;62.057144165000;1.882900000000
2016;48917;ZOOTECNIA;Educação Presencial;47.772727966000;43.836364746000;2.919000000000
2016;48919;FISIOTERAPIA;Educação Presencial;55.616130829000;49.858062744000;4.291200000000
2016;48921;AGRONOMIA;Educação Presencial;51.651111603000;62.568889618000;3.107500000000
2016;48923;FARMÁCIA;Educação Presencial;54.470966339000;57.848388672000;3.413400000000
2016;80028;FARMÁCIA;Educação Presencial;39.394317627000;38.381816864000;0.953400000000
2016;80031;AGRONOMIA;Educação Presencial;49.250000000000;61.867649078000;2.935800000000
2016;80037;MEDICINA;Educação Presencial;64.864517212000;71.906448364000;3.527300000000
2016;80093;FARMÁCIA;Educação Presencial;50.786666870000;54.490001678000;2.950700000000
2016;80101;EDUCAÇÃO FÍSICA (BACHARELADO);Educação Presencial;41.424137115000;43.162067413000;2.356300000000
2016;80103;NUTRIÇÃO;Educação Presencial;42.414894104000;42.423404694000;1.813900000000
2016;80105;FISIOTERAPIA;Educação Presencial;41.746429443000;31.816070557000;1.851400000000
